archivo,categoria,correcto_id,fuente
c01_exacta.jpg,exacta,AIM-P001-001,AIM-P001-001.jpg
c01_sin_marco.jpg,sin_marco,AIM-P001-001,AIM-P001-001.jpg
c01_recoloreada.jpg,recoloreada,AIM-P001-001,AIM-P001-001.jpg
c01_recortada.jpg,recortada,AIM-P001-001,AIM-P001-001.jpg
c01_persona.jpg,persona,AIM-P001-001,AIM-P001-001.jpg
c02_exacta.jpg,exacta,AIM-P001-010,AIM-P001-010.jpg
c02_sin_marco.jpg,sin_marco,AIM-P001-010,AIM-P001-010.jpg
c02_recoloreada.jpg,recoloreada,AIM-P001-010,AIM-P001-010.jpg
c02_recortada.jpg,recortada,AIM-P001-010,AIM-P001-010.jpg
c02_persona.jpg,persona,AIM-P001-010,AIM-P001-010.jpg
c03_exacta.jpg,exacta,AIM-P001-025,AIM-P001-025.jpg
c03_sin_marco.jpg,sin_marco,AIM-P001-025,AIM-P001-025.jpg
c03_recoloreada.jpg,recoloreada,AIM-P001-025,AIM-P001-025.jpg
c03_recortada.jpg,recortada,AIM-P001-025,AIM-P001-025.jpg
c03_persona.jpg,persona,AIM-P001-025,AIM-P001-025.jpg
c04_exacta.jpg,exacta,AIM-P001-040,AIM-P001-040.jpg
c04_sin_marco.jpg,sin_marco,AIM-P001-040,AIM-P001-040.jpg
c04_recoloreada.jpg,recoloreada,AIM-P001-040,AIM-P001-040.jpg
c04_recortada.jpg,recortada,AIM-P001-040,AIM-P001-040.jpg
c04_persona.jpg,persona,AIM-P001-040,AIM-P001-040.jpg
c05_exacta.jpg,exacta,AIM-P001-055,AIM-P001-055.jpg
c05_sin_marco.jpg,sin_marco,AIM-P001-055,AIM-P001-055.jpg
c05_recoloreada.jpg,recoloreada,AIM-P001-055,AIM-P001-055.jpg
c05_recortada.jpg,recortada,AIM-P001-055,AIM-P001-055.jpg
c05_persona.jpg,persona,AIM-P001-055,AIM-P001-055.jpg
c06_exacta.jpg,exacta,AIM-P002-101,AIM-P002-101.jpg
c06_sin_marco.jpg,sin_marco,AIM-P002-101,AIM-P002-101.jpg
c06_recoloreada.jpg,recoloreada,AIM-P002-101,AIM-P002-101.jpg
c06_recortada.jpg,recortada,AIM-P002-101,AIM-P002-101.jpg
c06_persona.jpg,persona,AIM-P002-101,AIM-P002-101.jpg
c07_exacta.jpg,exacta,AIM-P010-550,AIM-P010-550.gif
c07_sin_marco.jpg,sin_marco,AIM-P010-550,AIM-P010-550.gif
c07_recoloreada.jpg,recoloreada,AIM-P010-550,AIM-P010-550.gif
c07_recortada.jpg,recortada,AIM-P010-550,AIM-P010-550.gif
c07_persona.jpg,persona,AIM-P010-550,AIM-P010-550.gif
c08_exacta.jpg,exacta,AIM-P004-201,AIM-P004-201.jpg
c08_sin_marco.jpg,sin_marco,AIM-P004-201,AIM-P004-201.jpg
c08_recoloreada.jpg,recoloreada,AIM-P004-201,AIM-P004-201.jpg
c08_recortada.jpg,recortada,AIM-P004-201,AIM-P004-201.jpg
c08_persona.jpg,persona,AIM-P004-201,AIM-P004-201.jpg
c09_exacta.jpg,exacta,AIM-P006-301,AIM-P006-301.jpg
c09_sin_marco.jpg,sin_marco,AIM-P006-301,AIM-P006-301.jpg
c09_recoloreada.jpg,recoloreada,AIM-P006-301,AIM-P006-301.jpg
c09_recortada.jpg,recortada,AIM-P006-301,AIM-P006-301.jpg
c09_persona.jpg,persona,AIM-P006-301,AIM-P006-301.jpg
c10_exacta.jpg,exacta,AIM-P016-901,AIM-P016-901.jpg
c10_sin_marco.jpg,sin_marco,AIM-P016-901,AIM-P016-901.jpg
c10_recoloreada.jpg,recoloreada,AIM-P016-901,AIM-P016-901.jpg
c10_recortada.jpg,recortada,AIM-P016-901,AIM-P016-901.jpg
c10_persona.jpg,persona,AIM-P016-901,AIM-P016-901.jpg
