consulta,categoria,ruta_imagen,id_correcto
c01_exacto.jpg,exacta,data/consultas/c01_exacto.jpg,AIM-P001-001
c01_sin_marco.jpg,sin_marco,data/consultas/c01_sin_marco.jpg,AIM-P001-001
c01_recoloreado.jpeg,recoloreada,data/consultas/c01_recoloreado.jpeg,AIM-P001-001
c01_recorte.jpg,recortada,data/consultas/c01_recorte.jpg,AIM-P001-001
c01_cuerpo.jpeg,persona,data/consultas/c01_cuerpo.jpeg,AIM-P001-001
c02_exacto.jpg,exacta,data/consultas/c02_exacto.jpg,AIM-P001-010
c02_sin_marco.jpg,sin_marco,data/consultas/c02_sin_marco.jpg,AIM-P001-010
c02_recoloreado.jpeg,recoloreada,data/consultas/c02_recoloreado.jpeg,AIM-P001-010
c02_recorte.jpg,recortada,data/consultas/c02_recorte.jpg,AIM-P001-010
c02_cuerpo.jpeg,persona,data/consultas/c02_cuerpo.jpeg,AIM-P001-010
c03_exacto.jpg,exacta,data/consultas/c03_exacto.jpg,AIM-P001-025
c03_sin_marco.jpg,sin_marco,data/consultas/c03_sin_marco.jpg,AIM-P001-025
c03_recoloreado.jpeg,recoloreada,data/consultas/c03_recoloreado.jpeg,AIM-P001-025
c03_recorte.jpg,recortada,data/consultas/c03_recorte.jpg,AIM-P001-025
c03_cuerpo.jpeg,persona,data/consultas/c03_cuerpo.jpeg,AIM-P001-025
c04_exacto.jpg,exacta,data/consultas/c04_exacto.jpg,AIM-P001-040
c04_sin_marco.jpg,sin_marco,data/consultas/c04_sin_marco.jpg,AIM-P001-040
c04_recoloreado.jpeg,recoloreada,data/consultas/c04_recoloreado.jpeg,AIM-P001-040
c04_recorte.jpg,recortada,data/consultas/c04_recorte.jpg,AIM-P001-040
c04_cuerpo.jpeg,persona,data/consultas/c04_cuerpo.jpeg,AIM-P001-040
c05_exacto.jpg,exacta,data/consultas/c05_exacto.jpg,AIM-P001-055
c05_sin_marco.jpg,sin_marco,data/consultas/c05_sin_marco.jpg,AIM-P001-055
c05_recoloreado.jpeg,recoloreada,data/consultas/c05_recoloreado.jpeg,AIM-P001-055
c05_recorte.jpg,recortada,data/consultas/c05_recorte.jpg,AIM-P001-055
c05_cuerpo.jpeg,persona,data/consultas/c05_cuerpo.jpeg,AIM-P001-055
c06_exacto.jpg,exacta,data/consultas/c06_exacto.jpg,AIM-P002-101
c06_sin_marco.jpg,sin_marco,data/consultas/c06_sin_marco.jpg,AIM-P002-101
c06_recoloreado.jpeg,recoloreada,data/consultas/c06_recoloreado.jpeg,AIM-P002-101
c06_recorte.jpg,recortada,data/consultas/c06_recorte.jpg,AIM-P002-101
c06_cuerpo.jpeg,persona,data/consultas/c06_cuerpo.jpeg,AIM-P002-101
c07_exacto.jpg,exacta,data/consultas/c07_exacto.jpg,AIM-P010-550
c07_sin_marco.jpg,sin_marco,data/consultas/c07_sin_marco.jpg,AIM-P010-550
c07_recoloreado.jpeg,recoloreada,data/consultas/c07_recoloreado.jpeg,AIM-P010-550
c07_recorte.jpg,recortada,data/consultas/c07_recorte.jpg,AIM-P010-550
c07_cuerpo.jpeg,persona,data/consultas/c07_cuerpo.jpeg,AIM-P010-550
c08_exacto.jpg,exacta,data/consultas/c08_exacto.jpg,AIM-P004-201
c08_sin_marco.jpg,sin_marco,data/consultas/c08_sin_marco.jpg,AIM-P004-201
c08_recoloreado.jpeg,recoloreada,data/consultas/c08_recoloreado.jpeg,AIM-P004-201
c08_recorte.jpg,recortada,data/consultas/c08_recorte.jpg,AIM-P004-201
c08_cuerpo.jpeg,persona,data/consultas/c08_cuerpo.jpeg,AIM-P004-201
c09_exacto.png,exacta,data/consultas/c09_exacto.png,AIM-P006-301
c09_sin_marco.jpg,sin_marco,data/consultas/c09_sin_marco.jpg,AIM-P006-301
c09_recoloreado.jpeg,recoloreada,data/consultas/c09_recoloreado.jpeg,AIM-P006-301
c09_recorte.jpg,recortada,data/consultas/c09_recorte.jpg,AIM-P006-301
c09_cuerpo.jpeg,persona,data/consultas/c09_cuerpo.jpeg,AIM-P006-301
c10_exacto.jpg,exacta,data/consultas/c10_exacto.jpg,AIM-P016-901
c10_sin_marco.jpg,sin_marco,data/consultas/c10_sin_marco.jpg,AIM-P016-901
c10_recoloreado.jpeg,recoloreada,data/consultas/c10_recoloreado.jpeg,AIM-P016-901
c10_recorte.jpg,recortada,data/consultas/c10_recorte.jpg,AIM-P016-901
c10_cuerpo.jpeg,persona,data/consultas/c10_cuerpo.jpeg,AIM-P016-901
